[ 2025-09-21 17:51:28,017 ] 241 urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): api.worldbank.org:80
[ 2025-09-21 17:51:30,011 ] 544 urllib3.connectionpool - DEBUG - http://api.worldbank.org:80 "GET /v2/countries/br;cn;us;de/indicator/SP.POP.TOTL?format=json&per_page=1000&date=2000%3A2022&page=1 HTTP/1.1" 200 None
[ 2025-09-21 17:51:30,014 ] 40 root - INFO - Fetched page 1 from http://api.worldbank.org/v2/countries/br;cn;us;de/indicator/SP.POP.TOTL
[ 2025-09-21 17:51:30,014 ] 41 root - INFO - converted the response to JSON
[ 2025-09-21 17:51:30,020 ] 61 root - INFO - JSON normalized
[ 2025-09-21 17:51:30,025 ] 74 root - INFO - Data has been saved in the CSV format
[ 2025-09-21 17:51:30,028 ] 20 root - INFO - Loaded raw data from /Users/salmanahmadgill/ETL/data/raw/SP.POP.TOTL_2000_2022.csv
[ 2025-09-21 17:51:30,033 ] 50 root - INFO - Data cleaned and transformed
[ 2025-09-21 17:51:30,034 ] 66 root - INFO - Transformed data saved
[ 2025-09-21 17:51:30,036 ] 24 root - INFO - Loaded processed data from /Users/salmanahmadgill/ETL/data/processed/transformed_data.csv
[ 2025-09-21 17:51:30,039 ] 40 root - INFO - Prepared features and target
[ 2025-09-21 17:51:30,044 ] 52 root - INFO - Model training complete
[ 2025-09-21 17:51:30,045 ] 70 root - INFO - Model Evaluation -> RMSE: 20617114.62201004, R2: 0.9985462509038353
[ 2025-09-21 17:51:30,046 ] 83 root - INFO - Model saved at /Users/salmanahmadgill/ETL/model/model.pkl
